recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599001858,1599002286,340,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599003125,1599003724,102,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599003724,1599004145,83,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599004351,1599004354,8,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599006496,1599006762,81,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599009082,1599009123,21,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599010349,1599010581,50,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599011397,1599011400,4,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599014270,1599014277,14,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599018880,1599019076,54,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599019556,1599020145,160,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599020227,1599020710,16,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599020898,1599021210,223,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599022035,1599022146,68,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599023304,1599023335,26,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599023934,1599024146,47,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599024765,1599024997,48,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599027094,1599027341,80,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599028061,1599028100,26,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-01,1599029200,1599029496,32,1,Tuesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599031251,1599031767,111,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599031984,1599032194,24,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599033340,1599033345,14,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599065938,1599065949,19,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599069374,1599069678,133,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599070616,1599070621,16,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599072562,1599073066,108,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599073311,1599073468,19,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599074449,1599074986,19,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599075136,1599075720,21,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599076729,1599077328,863,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599077328,1599077408,141,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599080372,1599080937,1000,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599080937,1599081329,119,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599081804,1599082363,48,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599082464,1599083042,151,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599083130,1599083583,63,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599084130,1599084259,11,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599085649,1599085811,30,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599086353,1599086549,16,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599087015,1599087577,46,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599087660,1599088142,59,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599088766,1599089148,130,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599089425,1599089969,20,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599090217,1599090780,505,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599090955,1599090966,23,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599092047,1599092600,10,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599092773,1599093358,27,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599093506,1599093803,538,2,Wednesday,9
HKQuantityTypeIdentifierStepCount,count,2020-09-02,1599096647,1599097202,958,2,Wednesday,9
